published_date,channel_id,channel_title,video_title,description,thumbnail_url,video_tag,categoryId,defaultAudioLanguage,duration(s),licensed_content,status,for_kids,view_count,like_count,favorite_count,comment_count,topic_category,start_time(UTC),end_time(UTC),scheduled_time(UTC)
2024-06-20 17:18:15+00:00,UC4pEixMozb6UnOtwg5Uew-Q,Cecilia Lieberia Ch.『 Re:Memories 』,KETIK NAMA UNTUK CEK KHODAM!,"📖 https://trakteer.id/cecilialieberia/tip agar pesanmu dibacain Mbak Google (pas cecil ngegame!)

= = = = = = = = = = = = = =

🌙 Koleksi Merch Official Cecil dan Keluarga Rememe!
https://tokopedia.com/rememories

🌙 Hadiah Kecil dari Pencil
https://youtu.be/Y_aXz7eIByM

🌙 Re:Colorful Memories
https://youtu.be/QoT9GtwpvQ4

= = = = = = = = = = = = = =

You can support me through here~
📖 https://trakteer.id/cecilialieberia/tip
📖 https://streamlabs.com/cecilialieberia
And I will read in on ""Donation Reading"" or ""QnA Stream"" if I miss it :'3

For collaboration and business Inquiries:
📖 Contact@rememories.id

= = = = = = = = = = = = = =

Ini dia Peraturan di Perpustakaan:
🌟 Boleh banget untuk clip dari livestreamku
🌟 Gaboleh gelud, OOT, dan spam ya? Maacii~
🌟 Gaboleh ngomong kasar sama sekali!
🌟 Melanggar = Ku bonk pakai kamus tebalku

Here are The Library Rules:
🌟 Feel free to clip from my livestream
🌟 No fighting, OOT, and spam please? Thank you~
🌟 No bad words at all! 
🌟 Break the rules = I'll bonk you with my heavy dictionary 

= = = = = = = = = = = = = =

Follow my social media:
📖 Twitter: https://twitter.com/CeciliaLieberia
📖 Facebook: https://www.fb.com/CeciliaLieberiach
📖 Instagram: https://www.instagram.com/cecilialieb...
📖 TikTok: https://www.tiktok.com/@cecilialieberia

Follow my sisters & brother:
🗡️ Elaine Celestia : https://www.youtube.com/@ElaineCelestia
🎹 Reynard Blanc : https://www.youtube.com/@reynardblanc
💫 Lily Ifeta : https://www.youtube.com/@LilyIfeta
🍀 Chloe Pawapua : https://www.youtube.com/@ChloePawapua
💰 Marin Goldlock : https://www.youtube.com/@MarinGoldlock
🐯 Leo Axenos : https://www.youtube.com/@LeoAxenos
☠   Izanami Chiara : https://www.youtube.com/@IzanamiChiara
🍓 Pinku Rimu : https://www.youtube.com/@PinkuRimu

#Gameplay #CileLive #CeciliaLieberia #Vtuberindo #virtualyoutuber #バーチャルYouTuber",https://i.ytimg.com/vi/8HyR3gebwK0/default.jpg,"rememories,rememories vtuber,chloe pawapua,reynard blanc,lily ifeta,evelyn vtuber,new vtuber,vtuber baru,cecilia lieberia,cecil rememories,Nanashi Mumei,mumei hololive,mumei indonesia,vtuber glasses,chloe,reynard,lily,evelyn,reinly,live2d,vtuber indonesia,anime,vtuber anime,muse indonesia",24,id,6149.0,True,public,False,4078.0,530.0,0.0,1.0,Entertainment,2024-06-20 15:02:23+00:00,,2024-06-20 15:00:00+00:00
2024-06-19 15:25:36+00:00,UC4pEixMozb6UnOtwg5Uew-Q,Cecilia Lieberia Ch.『 Re:Memories 』,MENAMATKAN HAPALAN REGION INDO!!! w/ @EtnaCrimson,"MENAMATKAN HAPALAN REGION INDO!!! w/ ETNA CRIMSON (pov below!)

Etna's POV :
https://www.youtube.com/live/TIIc0jTNkzI?si=_zvdq4VtX0KvS57b
= = = = = = = = = = = = = =

🌙 Koleksi Merch Official Cecil dan Keluarga Rememe!
https://tokopedia.com/rememories

🌙 Hadiah Kecil dari Pencil
https://youtu.be/Y_aXz7eIByM

🌙 Re:Colorful Memories
https://youtu.be/QoT9GtwpvQ4

= = = = = = = = = = = = = =

You can support me through here~
📖 https://trakteer.id/cecilialieberia/tip
📖 https://streamlabs.com/cecilialieberia
And I will read in on ""Donation Reading"" or ""QnA Stream"" if I miss it :'3

For collaboration and business Inquiries:
📖 Contact@rememories.id

= = = = = = = = = = = = = =

Ini dia Peraturan di Perpustakaan:
🌟 Boleh banget untuk clip dari livestreamku
🌟 Gaboleh gelud, OOT, dan spam ya? Maacii~
🌟 Gaboleh ngomong kasar sama sekali!
🌟 Melanggar = Ku bonk pakai kamus tebalku

Here are The Library Rules:
🌟 Feel free to clip from my livestream
🌟 No fighting, OOT, and spam please? Thank you~
🌟 No bad words at all! 
🌟 Break the rules = I'll bonk you with my heavy dictionary 

= = = = = = = = = = = = = =

Follow my social media:
📖 Twitter: https://twitter.com/CeciliaLieberia
📖 Facebook: https://www.fb.com/CeciliaLieberiach
📖 Instagram: https://www.instagram.com/cecilialieb...
📖 TikTok: https://www.tiktok.com/@cecilialieberia

Follow my sisters & brother:
🗡️ Elaine Celestia : https://www.youtube.com/@ElaineCelestia
🎹 Reynard Blanc : https://www.youtube.com/@reynardblanc
💫 Lily Ifeta : https://www.youtube.com/@LilyIfeta
🍀 Chloe Pawapua : https://www.youtube.com/@ChloePawapua
💰 Marin Goldlock : https://www.youtube.com/@MarinGoldlock
🐯 Leo Axenos : https://www.youtube.com/@LeoAxenos
☠   Izanami Chiara : https://www.youtube.com/@IzanamiChiara
🍓 Pinku Rimu : https://www.youtube.com/@PinkuRimu

#Gameplay #CileLive #CeciliaLieberia #Vtuberindo #virtualyoutuber #バーチャルYouTuber",https://i.ytimg.com/vi/C9BGHsPXcrA/default.jpg,"rememories,rememories vtuber,chloe pawapua,reynard blanc,lily ifeta,evelyn vtuber,new vtuber,vtuber baru,cecilia lieberia,cecil rememories,Nanashi Mumei,mumei hololive,mumei indonesia,vtuber glasses,chloe,reynard,lily,evelyn,reinly,live2d,vtuber indonesia,anime,vtuber anime,muse indonesia",20,id,7939.0,True,public,False,3639.0,639.0,0.0,4.0,Video_game_culture,2024-06-19 13:01:37+00:00,,2024-06-19 13:00:00+00:00
2024-06-18 10:00:14+00:00,UC4pEixMozb6UnOtwg5Uew-Q,Cecilia Lieberia Ch.『 Re:Memories 』,PR Keluarga Bencana Emma #shorts #school #correction,Sc : @kids_paper_checking (IG),https://i.ytimg.com/vi/JMQ96wO4Jko/default.jpg,,20,id,60.0,True,public,False,889.0,120.0,0.0,13.0,Entertainment,,,
2024-06-16 15:25:07+00:00,UC4pEixMozb6UnOtwg5Uew-Q,Cecilia Lieberia Ch.『 Re:Memories 』,Petualangan kambing tantrum,"📖 https://trakteer.id/cecilialieberia/tip agar pesanmu dibacain Mbak Google (pas cecil ngegame!)

= = = = = = = = = = = = = =

🌙 Koleksi Merch Official Cecil dan Keluarga Rememe!
https://tokopedia.com/rememories

🌙 Hadiah Kecil dari Pencil
https://youtu.be/Y_aXz7eIByM

🌙 Re:Colorful Memories
https://youtu.be/QoT9GtwpvQ4

= = = = = = = = = = = = = =

You can support me through here~
📖 https://trakteer.id/cecilialieberia/tip
📖 https://streamlabs.com/cecilialieberia
And I will read in on ""Donation Reading"" or ""QnA Stream"" if I miss it :'3

For collaboration and business Inquiries:
📖 Contact@rememories.id

= = = = = = = = = = = = = =

Ini dia Peraturan di Perpustakaan:
🌟 Boleh banget untuk clip dari livestreamku
🌟 Gaboleh gelud, OOT, dan spam ya? Maacii~
🌟 Gaboleh ngomong kasar sama sekali!
🌟 Melanggar = Ku bonk pakai kamus tebalku

Here are The Library Rules:
🌟 Feel free to clip from my livestream
🌟 No fighting, OOT, and spam please? Thank you~
🌟 No bad words at all! 
🌟 Break the rules = I'll bonk you with my heavy dictionary 

= = = = = = = = = = = = = =

Follow my social media:
📖 Twitter: https://twitter.com/CeciliaLieberia
📖 Facebook: https://www.fb.com/CeciliaLieberiach
📖 Instagram: https://www.instagram.com/cecilialieb...
📖 TikTok: https://www.tiktok.com/@cecilialieberia

Follow my sisters & brother:
🗡️ Elaine Celestia : https://www.youtube.com/@ElaineCelestia
🎹 Reynard Blanc : https://www.youtube.com/@reynardblanc
💫 Lily Ifeta : https://www.youtube.com/@LilyIfeta
🍀 Chloe Pawapua : https://www.youtube.com/@ChloePawapua
💰 Marin Goldlock : https://www.youtube.com/@MarinGoldlock
🐯 Leo Axenos : https://www.youtube.com/@LeoAxenos
☠   Izanami Chiara : https://www.youtube.com/@IzanamiChiara
🍓 Pinku Rimu : https://www.youtube.com/@PinkuRimu

#Gameplay #CileLive #CeciliaLieberia #Vtuberindo #virtualyoutuber #バーチャルYouTuber",https://i.ytimg.com/vi/tDOMQrGKi_U/default.jpg,"rememories,rememories vtuber,chloe pawapua,reynard blanc,lily ifeta,evelyn vtuber,new vtuber,vtuber baru,cecilia lieberia,cecil rememories,Nanashi Mumei,mumei hololive,mumei indonesia,vtuber glasses,chloe,reynard,lily,evelyn,reinly,live2d,vtuber indonesia,anime,vtuber anime,muse indonesia",20,id,7603.0,True,public,False,1885.0,367.0,0.0,4.0,"Action-adventure_game,Action_game,Role-playing_video_game,Video_game_culture",2024-06-16 13:03:24+00:00,,2024-06-16 13:00:00+00:00
2024-06-14 17:39:44+00:00,UC4pEixMozb6UnOtwg5Uew-Q,Cecilia Lieberia Ch.『 Re:Memories 』,【JOWO COVER】IDOL - Cecilia Lieberia,"[TURN ON YOUTUBE CC FOR TRANSLATION]

🌙 Cecil & Rememe Merchandise
https://www.tokopedia.com/rememories

= = = = = = = = = = = = = =

『Original Credit』
● Original : YOASOBI「アイドル」 Official Music Video
  https://www.youtube.com/watch?v=ZRtdQ81jPUQ

『Cover Credit』
● Vocal : Cecilia Lieberia
● Translyrics & Youtube CC : Soraあ (https://x.com/Haruki_Soraa)
● Mixing : ‪ @reynardblanc  
● Art : Gumi (https://x.com/gumixn)
● Video : Yayo (https://x.com/re_yayoharo86)

= = = = = = = = = = = = = =

You can support me through here!~
📖 https://trakteer.id/cecilialieberia/tip
📖 https://streamlabs.com/cecilialieberia

For collaboration and business Inquiries:
📖 Contact@rememories.id

= = = = = = = = = = = = = =

Follow my social media:
📖 Twitter: https://twitter.com/CeciliaLieberia
📖 Facebook: https://www.fb.com/CeciliaLieberiach
📖 Instagram: https://www.instagram.com/cecilialieberia
📖 TikTok: https://www.tiktok.com/@cecilialieberia

Follow my sisters & brother:
🗡️ Elaine Celestia : https://www.youtube.com/@ElaineCelestia
🎹 Reynard Blanc : https://www.youtube.com/@reynardblanc
💫 Lily Ifeta : https://www.youtube.com/@LilyIfeta
🍀 Chloe Pawapua : https://www.youtube.com/@ChloePawapua
💰 Marin Goldlock : https://www.youtube.com/@MarinGoldlock
🐯 Leo Axenos : https://www.youtube.com/@LeoAxenos
☠   Izanami Chiara : https://www.youtube.com/@IzanamiChiara
🍓 Pinku Rimu : https://www.youtube.com/@PinkuRimu

#CileLive #CeciliaLieberia #Vtuberindo #virtualyoutuber #バーチャルYouTuber",https://i.ytimg.com/vi/ZseduiG8QwA/default.jpg,"rememories,rememories vtuber,chloe pawapua,reynard blanc,lily ifeta,cecilia lieberia,cecil rememories,Nanashi Mumei,mumei hololive,mumei indonesia,vtuber glasses,chloe,reynard,lily,reinly,live2d,vtuber indonesia,anime,vtuber anime,muse indonesia,loli",24,id,215.0,False,public,False,15.0,43.0,0.0,4.0,"Music,Music_of_Asia,Pop_music",,,2024-06-23 13:00:00+00:00
2024-06-11 16:13:56+00:00,UC4pEixMozb6UnOtwg5Uew-Q,Cecilia Lieberia Ch.『 Re:Memories 』,PPT (Para Pencari Telur),"📖 https://trakteer.id/cecilialieberia/tip agar pesanmu dibacain Mbak Google (pas cecil ngegame!)

= = = = = = = = = = = = = =

🌙 Koleksi Merch Official Cecil dan Keluarga Rememe!
https://tokopedia.com/rememories

🌙 Hadiah Kecil dari Pencil
https://youtu.be/Y_aXz7eIByM

🌙 Re:Colorful Memories
https://youtu.be/QoT9GtwpvQ4

= = = = = = = = = = = = = =

You can support me through here~
📖 https://trakteer.id/cecilialieberia/tip
📖 https://streamlabs.com/cecilialieberia
And I will read in on ""Donation Reading"" or ""QnA Stream"" if I miss it :'3

For collaboration and business Inquiries:
📖 Contact@rememories.id

= = = = = = = = = = = = = =

Ini dia Peraturan di Perpustakaan:
🌟 Boleh banget untuk clip dari livestreamku
🌟 Gaboleh gelud, OOT, dan spam ya? Maacii~
🌟 Gaboleh ngomong kasar sama sekali!
🌟 Melanggar = Ku bonk pakai kamus tebalku

Here are The Library Rules:
🌟 Feel free to clip from my livestream
🌟 No fighting, OOT, and spam please? Thank you~
🌟 No bad words at all! 
🌟 Break the rules = I'll bonk you with my heavy dictionary 

= = = = = = = = = = = = = =

Follow my social media:
📖 Twitter: https://twitter.com/CeciliaLieberia
📖 Facebook: https://www.fb.com/CeciliaLieberiach
📖 Instagram: https://www.instagram.com/cecilialieb...
📖 TikTok: https://www.tiktok.com/@cecilialieberia

Follow my sisters & brother:
🗡️ Elaine Celestia : https://www.youtube.com/@ElaineCelestia
🎹 Reynard Blanc : https://www.youtube.com/@reynardblanc
💫 Lily Ifeta : https://www.youtube.com/@LilyIfeta
🍀 Chloe Pawapua : https://www.youtube.com/@ChloePawapua
💰 Marin Goldlock : https://www.youtube.com/@MarinGoldlock
🐯 Leo Axenos : https://www.youtube.com/@LeoAxenos
☠   Izanami Chiara : https://www.youtube.com/@IzanamiChiara
🍓 Pinku Rimu : https://www.youtube.com/@PinkuRimu

#Gameplay #CileLive #CeciliaLieberia #Vtuberindo #virtualyoutuber #バーチャルYouTuber",https://i.ytimg.com/vi/83Yu_khVmV0/default.jpg,"rememories,rememories vtuber,chloe pawapua,reynard blanc,lily ifeta,evelyn vtuber,new vtuber,vtuber baru,cecilia lieberia,cecil rememories,Nanashi Mumei,mumei hololive,mumei indonesia,vtuber glasses,chloe,reynard,lily,evelyn,reinly,live2d,vtuber indonesia,anime,vtuber anime,muse indonesia",20,id,8955.0,True,public,False,2283.0,375.0,0.0,4.0,"Action_game,Video_game_culture",2024-06-11 13:33:54+00:00,,2024-06-11 13:30:00+00:00
2024-06-10 13:00:25+00:00,UC4pEixMozb6UnOtwg5Uew-Q,Cecilia Lieberia Ch.『 Re:Memories 』,PR Julian Bocil Sigma #shorts #correction #school,Sc : @memdayi (IG),https://i.ytimg.com/vi/G7N9U8QYkew/default.jpg,,24,id,60.0,True,public,False,1169.0,134.0,0.0,9.0,,,,
2024-06-08 15:10:26+00:00,UC4pEixMozb6UnOtwg5Uew-Q,Cecilia Lieberia Ch.『 Re:Memories 』,Majuu!!! Penentu kemenangan melawan Tim @LilyIfeta,"Download World of Tanks di:
🌙 https://tanks.ly/3Vb4x5q

▼untuk pengguna baru akan mendapatkan:
• Premium Tank: Cromwell B (UK - Tier 6 - Medium Tank)
• Rental of 3 Premium Tanks:
a. Tiger 131 (Germany - Tier 6 - Medium Tank)
b. T78 (USA - Tier 6 - Light Tank)
c. Type 64 (China - Tier 6 - Light Tank)
● 250,000 Credits
● Akun premium selama 7 hari

▼Pengguna existing akan mendapatkan (Pengguna yang tidak login selama 30 hari):
● Akun premium selama 3 hari
● 1 Kamuflase tank (Tank customization element)
● Premium Rental Tank (7 days) - Centurion Mk. 5/1 RAAC (Tier
8 UK Medium Tank), including a crew with 100% proficiency for
10 battles.
**Apabila pengguna sudah memiliki tank UK, akan
mendapatkan kredit sebesar 100,000

📖 https://trakteer.id/cecilialieberia/tip agar pesanmu dibacain Mbak Google (pas cecil ngegame!)
📖 pov Mbak Lily : https://youtu.be/CUqhcMB6vGQ

= = = = = = = = = = = = = =

🌙 Koleksi Merch Official Cecil dan Keluarga Rememe!
https://tokopedia.com/rememories

🌙 Hadiah Kecil dari Pencil
https://youtu.be/Y_aXz7eIByM

🌙 Re:Colorful Memories
https://youtu.be/QoT9GtwpvQ4

= = = = = = = = = = = = = =

You can support me through here~
📖 https://trakteer.id/cecilialieberia/tip
📖 https://streamlabs.com/cecilialieberia
And I will read in on ""Donation Reading"" or ""QnA Stream"" if I miss it :'3

For collaboration and business Inquiries:
📖 Contact@rememories.id

= = = = = = = = = = = = = =

Ini dia Peraturan di Perpustakaan:
🌟 Boleh banget untuk clip dari livestreamku
🌟 Gaboleh gelud, OOT, dan spam ya? Maacii~
🌟 Gaboleh ngomong kasar sama sekali!
🌟 Melanggar = Ku bonk pakai kamus tebalku

Here are The Library Rules:
🌟 Feel free to clip from my livestream
🌟 No fighting, OOT, and spam please? Thank you~
🌟 No bad words at all! 
🌟 Break the rules = I'll bonk you with my heavy dictionary 

= = = = = = = = = = = = = =

Follow my social media:
📖 Twitter: https://twitter.com/CeciliaLieberia
📖 Facebook: https://www.fb.com/CeciliaLieberiach
📖 Instagram: https://www.instagram.com/cecilialieb...
📖 TikTok: https://www.tiktok.com/@cecilialieberia

Follow my sisters & brother:
🗡️ Elaine Celestia : https://www.youtube.com/@ElaineCelestia
🎹 Reynard Blanc : https://www.youtube.com/@reynardblanc
💫 Lily Ifeta : https://www.youtube.com/@LilyIfeta
🍀 Chloe Pawapua : https://www.youtube.com/@ChloePawapua
💰 Marin Goldlock : https://www.youtube.com/@MarinGoldlock
🐯 Leo Axenos : https://www.youtube.com/@LeoAxenos
☠   Izanami Chiara : https://www.youtube.com/@IzanamiChiara
🍓 Pinku Rimu : https://www.youtube.com/@PinkuRimu

#Gameplay #CileLive #CeciliaLieberia #Vtuberindo #virtualyoutuber #バーチャルYouTuber",https://i.ytimg.com/vi/MUKmR_iAma8/default.jpg,"rememories,rememories vtuber,chloe pawapua,reynard blanc,lily ifeta,evelyn vtuber,new vtuber,vtuber baru,cecilia lieberia,cecil rememories,Nanashi Mumei,mumei hololive,mumei indonesia,vtuber glasses,chloe,reynard,lily,evelyn,reinly,live2d,vtuber indonesia,anime,vtuber anime,muse indonesia",20,id,7246.0,True,public,False,1775.0,280.0,0.0,8.0,"Action_game,Role-playing_video_game,Strategy_video_game,Video_game_culture",2024-06-08 13:01:28+00:00,,2024-06-08 13:00:00+00:00
2024-06-08 08:00:27+00:00,UC4pEixMozb6UnOtwg5Uew-Q,Cecilia Lieberia Ch.『 Re:Memories 』,Loli jawa nyasar di Jepang #shorts #vtuber #jawa,,https://i.ytimg.com/vi/qBIGMJvfr-g/default.jpg,,20,id,60.0,True,public,False,16918.0,1310.0,0.0,32.0,Video_game_culture,,,
2024-06-08 03:24:04+00:00,UC4pEixMozb6UnOtwg5Uew-Q,Cecilia Lieberia Ch.『 Re:Memories 』,Menjadi bocil Roblox bersama @RenaAnggraeni,"📖 https://trakteer.id/cecilialieberia/tip agar pesanmu dibacain Mbak Google (pas cecil ngegame!)
📖 pov Mbak Rena : https://www.youtube.com/live/Yr0An-6_sgc?si=3KyuQXbtfJLii5vh

= = = = = = = = = = = = = =

🌙 Koleksi Merch Official Cecil dan Keluarga Rememe!
https://tokopedia.com/rememories

🌙 Hadiah Kecil dari Pencil
https://youtu.be/Y_aXz7eIByM

🌙 Re:Colorful Memories
https://youtu.be/QoT9GtwpvQ4

= = = = = = = = = = = = = =

You can support me through here~
📖 https://trakteer.id/cecilialieberia/tip
📖 https://streamlabs.com/cecilialieberia
And I will read in on ""Donation Reading"" or ""QnA Stream"" if I miss it :'3

For collaboration and business Inquiries:
📖 Contact@rememories.id

= = = = = = = = = = = = = =

Ini dia Peraturan di Perpustakaan:
🌟 Boleh banget untuk clip dari livestreamku
🌟 Gaboleh gelud, OOT, dan spam ya? Maacii~
🌟 Gaboleh ngomong kasar sama sekali!
🌟 Melanggar = Ku bonk pakai kamus tebalku

Here are The Library Rules:
🌟 Feel free to clip from my livestream
🌟 No fighting, OOT, and spam please? Thank you~
🌟 No bad words at all! 
🌟 Break the rules = I'll bonk you with my heavy dictionary 

= = = = = = = = = = = = = =

Follow my social media:
📖 Twitter: https://twitter.com/CeciliaLieberia
📖 Facebook: https://www.fb.com/CeciliaLieberiach
📖 Instagram: https://www.instagram.com/cecilialieb...
📖 TikTok: https://www.tiktok.com/@cecilialieberia

Follow my sisters & brother:
🗡️ Elaine Celestia : https://www.youtube.com/@ElaineCelestia
🎹 Reynard Blanc : https://www.youtube.com/@reynardblanc
💫 Lily Ifeta : https://www.youtube.com/@LilyIfeta
🍀 Chloe Pawapua : https://www.youtube.com/@ChloePawapua
💰 Marin Goldlock : https://www.youtube.com/@MarinGoldlock
🐯 Leo Axenos : https://www.youtube.com/@LeoAxenos
☠   Izanami Chiara : https://www.youtube.com/@IzanamiChiara
🍓 Pinku Rimu : https://www.youtube.com/@PinkuRimu

#Gameplay #CileLive #CeciliaLieberia #Vtuberindo #virtualyoutuber #バーチャルYouTuber",https://i.ytimg.com/vi/w2EIZRtK5Fk/default.jpg,"rememories,rememories vtuber,chloe pawapua,reynard blanc,lily ifeta,evelyn vtuber,new vtuber,vtuber baru,cecilia lieberia,cecil rememories,Nanashi Mumei,mumei hololive,mumei indonesia,vtuber glasses,chloe,reynard,lily,evelyn,reinly,live2d,vtuber indonesia,anime,vtuber anime,muse indonesia",20,id,9432.0,True,public,False,2500.0,369.0,0.0,6.0,"Action-adventure_game,Role-playing_video_game,Video_game_culture",2024-06-08 00:39:14+00:00,,2024-06-08 00:30:00+00:00
